dataset,model name,auc,encoding time,matching time
Pittsburgh-Query,classification_cait.pth,0.06901391474690219,0.03196923828125,1.995178845654363e-05
Pittsburgh-Query,classification_pit.pth,0.06042163372302831,0.011906958103179932,1.9631113145662424e-05
Pittsburgh-Query,classification_vit.pth,0.04614749554161463,0.012345967769622802,2.058704950498497e-05
Pittsburgh-Query,triplet_cait.pth,0.16207249382460764,0.032410221815109254,1.8146239602047454e-05
Pittsburgh-Query,triplet_pit.pth,0.20093467678318863,0.011763395309448242,1.9238155012545397e-05
Pittsburgh-Query,triplet_twoQs_cait.pth,0.15424716404565547,0.03365739130973816,1.8769580229468984e-05
Pittsburgh-Query,triplet_vit.pth,0.23007743106417491,0.012513275623321534,2.0829658736353378e-05
Pittsburgh-Query,NETVLAD,0.9418496948355065,1.4239788198471068,4.353671333064202e-06
