dataset,model name,auc,encoding time,matching time
GardensPoint_TN,classification_cait.pth,0.4239843982771931,0.03296874046325684,2.574665844440459e-05
GardensPoint_TN,classification_pit.pth,0.6664227495434789,0.0137062269449234,2.7204388380050684e-05
GardensPoint_TN,classification_vit.pth,0.6763981853848173,0.01233235478401184,2.387836277484896e-05
GardensPoint_TN,triplet_cait.pth,0.6888884895792813,0.03311247169971466,2.438992261886598e-05
GardensPoint_TN,triplet_pit.pth,0.7163457732003914,0.014751125574111939,2.9038003087043786e-05
GardensPoint_TN,triplet_twoQs_cait.pth,0.6593391472752794,0.034429678916931154,2.4487042427063007e-05
GardensPoint_TN,triplet_vit.pth,0.7415400262244641,0.012452069520950317,2.416547238826755e-05
GardensPoint_TN,AlexNet_VPR,0.3728140358514937,1.1004868423938752,2.860769629478449e-06
GardensPoint_TN,AMOSNet,0.50580396773308,0.7933871328830719,1.6356185078620917e-05
GardensPoint_TN,ap-gem-r101,0.749160259415929,1.761196595430374,0.09898543357849121
GardensPoint_TN,CALC,0.4035776357986458,0.033855903744697574,2.367895841598515e-06
GardensPoint_TN,CoHOG,0.37768738320861495,0.06516724586486816,0.0007246773302555082
GardensPoint_TN,denseVLAD,0.7109712960085978,1.699041825,0.2221357822418213
GardensPoint_TN,HOG,0.13210948560041297,0.007585155963897705,2.767179012298582e-05
GardensPoint_TN,HybridNet,0.5529115377912657,0.7953001701831818,1.6226488351821892e-05
GardensPoint_TN,NETVLAD,0.700703698950199,4.348158882856369,5.4983288049697835e-06
GardensPoint_TN,RegionVLAD,0.4558322051129502,1.2795484352111817,7.121605873107907e-05
