dataset,model name,auc,encoding time,matching time
SPEDTEST,classification_cait.pth,0.8687877619584332,0.03381609916687012,2.623531387035189e-05
SPEDTEST,classification_pit.pth,0.9268272064322676,0.012374491825135182,2.388154052393296e-05
SPEDTEST,classification_vit.pth,0.9192319798020969,0.011979660838596903,2.2823173992558393e-05
SPEDTEST,triplet_cait.pth,0.7509954171274087,0.033793983192381,2.4230945533807128e-05
SPEDTEST,triplet_pit.pth,0.8076742305498069,0.01255259914492461,2.5221160856327866e-05
SPEDTEST,triplet_twoQs_cait.pth,0.7858205521340107,0.034132703328643245,2.358859580105188e-05
SPEDTEST,triplet_vit.pth,0.791077758517418,0.01132881700305216,2.205483511561153e-05
