dataset,model name,auc,encoding time,matching time
ESSEX3IN1_dataset,classification_cait.pth,0.45099517104707865,0.03259256680806478,2.6528040568033874e-05
ESSEX3IN1_dataset,classification_pit.pth,0.6333577601727334,0.012739988735743932,2.464753970537597e-05
ESSEX3IN1_dataset,classification_vit.pth,0.6090091120781805,0.012259285790579659,2.3673580887636625e-05
ESSEX3IN1_dataset,triplet_cait.pth,0.7593835627729972,0.033765862101600284,2.4711864064880526e-05
ESSEX3IN1_dataset,triplet_pit.pth,0.7300058076934581,0.012092451822190058,2.402674854477517e-05
ESSEX3IN1_dataset,triplet_twoQs_cait.pth,0.6845974064679209,0.033840943518139065,2.4169448281631984e-05
ESSEX3IN1_dataset,triplet_vit.pth,0.6156743297319793,0.011474773997352236,2.199939589381488e-05
ESSEX3IN1_dataset,NETVLAD,0.7108758642358437,5.681334706715175,4.2974651535622385e-06
